"reason","region"
"All","World"
"Flared","World"
"Fugitive","World"
"Vented","World"
"Fugitive","Russia & Caspian"
"All","Russia & Caspian"
"Vented","Russia & Caspian"
"Flared","Russia & Caspian"
"All","Other"
"Vented","Other"
"Flared","Other"
"Fugitive","Other"
"Flared","North America"
"Vented","North America"
"All","North America"
"Fugitive","North America"
"All","Middle East"
"Vented","Middle East"
"Flared","Middle East"
"Fugitive","Middle East"
"Vented","Europe"
"All","Europe"
"Fugitive","Europe"
"Flared","Europe"
"All","Central and South America"
"Vented","Central and South America"
"Flared","Central and South America"
"Fugitive","Central and South America"
"Vented","Asia Pacific"
"Fugitive","Asia Pacific"
"Flared","Asia Pacific"
"All","Asia Pacific"
"All","Africa"
"Vented","Africa"
"Fugitive","Africa"
"Flared","Africa"
